;name;age;height;weight;season
1586;Ron Mercer;24.0;200.66;95.25432;1999-00
1587;Roshown McLeod;24.0;203.2;100.243832;1999-00
1588;Roy Rogers;26.0;208.28;106.59411999999999;1999-00
1589;Ruben Patterson;24.0;198.12;102.965384;1999-00
1590;Ryan Bowen;24.0;200.66;97.52228000000001;1999-00
1591;Stephon Marbury;23.0;187.96;81.64656;1999-00
1592;Steve Francis;23.0;190.5;87.543256;1999-00
1593;Steve Kerr;34.0;190.5;81.64656;1999-00
1594;Trajan Langdon;24.0;190.5;88.45044;1999-00
1595;Travis Best;27.0;180.34;82.553744;1999-00
1596;Travis Knight;25.0;213.36;106.59411999999999;1999-00
1597;Troy Hudson;24.0;185.42;80.73937600000001;1999-00
1598;Tyrone Corbin;37.0;198.12;102.0582;1999-00
1599;Tyrone Hill;32.0;205.74;113.398;1999-00
1600;Tyrone Nesby;24.0;198.12;102.0582;1999-00
1601;Tyronn Lue;23.0;182.88;79.3786;1999-00
1602;Vernon Maxwell;34.0;193.04;81.64656;1999-00
1603;Vin Baker;28.0;210.82;113.398;1999-00
1604;Vince Carter;23.0;200.66;97.52228000000001;1999-00
1605;Vinny Del Negro;33.0;193.04;90.7184;1999-00
1606;Vitaly Potapenko;25.0;208.28;127.00576000000001;1999-00
1607;Vlade Divac;32.0;215.9;117.93392;1999-00
1608;Vladimir Stepania;24.0;213.36;107.047712;1999-00
1609;Vonteego Cummings;24.0;190.5;86.18248;1999-00
1610;Voshon Lenard;27.0;193.04;97.52228000000001;1999-00
1611;Wally Szczerbiak;23.0;200.66;110.22285600000001;1999-00
1612;Walt Williams;30.0;203.2;104.32616;1999-00
1613;Walter McCarty;26.0;208.28;104.32616;1999-00
1614;Wayne Turner;24.0;187.96;86.18248;1999-00
1615;Wesley Person;29.0;198.12;88.45044;1999-00
1616;Will Perdue;34.0;213.36;108.86208;1999-00
1617;Tracy Murray;28.0;200.66;103.418976;1999-00
1618;Tracy McGrady;21.0;203.2;95.25432;1999-00
1619;Tony Massenburg;32.0;205.74;113.398;1999-00
1620;Tony Farmer;30.0;205.74;110.676448;1999-00
1621;Steve Nash;26.0;190.5;88.45044;1999-00
1622;Steven Smith;31.0;203.2;97.52228000000001;1999-00
1623;Tariq Abdul-Wahad;25.0;198.12;101.151016;1999-00
1624;Terrell Brandon;30.0;180.34;78.471416;1999-00
1625;Terry Cummings;39.0;205.74;99.79024;1999-00
1626;Terry Mills;32.0;208.28;113.398;1999-00
1627;Terry Porter;37.0;190.5;92.98635999999999;1999-00
1628;Theo Ratliff;27.0;208.28;102.0582;1999-00
1629;Thomas Hamilton;25.0;218.44;149.68536;1999-00
1630;Tim Duncan;24.0;213.36;117.93392;1999-00
1631;Tim Hardaway;33.0;182.88;88.45044;1999-00
1632;Rasho Nesterovic;24.0;213.36;112.490816;1999-00
1633;Tim James;23.0;200.66;96.16150400000001;1999-00
1634;Tim Thomas;23.0;208.28;104.32616;1999-00
1635;Tim Young;24.0;218.44;122.46983999999999;1999-00
1636;Toby Bailey;24.0;198.12;96.615096;1999-00
1637;Todd Day;30.0;198.12;85.275296;1999-00
1638;Todd Fuller;25.0;210.82;115.66596000000001;1999-00
1639;Todd MacCulloch;24.0;213.36;127.00576000000001;1999-00
1640;Tom Gugliotta;30.0;208.28;108.86208;1999-00
1641;Tom Hammonds;33.0;205.74;102.0582;1999-00
1642;Toni Kukoc;31.0;210.82;106.59411999999999;1999-00
1643;Tony Battie;24.0;210.82;108.86208;1999-00
1644;Tony Delk;26.0;187.96;87.089664;1999-00
1645;Tim Legler;33.0;193.04;90.7184;1999-00
1646;John Crotty;30.0;187.96;87.996848;1999-00
1647;Rashard Lewis;20.0;208.28;97.52228000000001;1999-00
1648;Randy Livingston;25.0;193.04;94.800728;1999-00
1649;Kobe Bryant;21.0;200.66;95.25432;1999-00
1650;Kornel David;28.0;205.74;106.59411999999999;1999-00
1651;Kurt Thomas;27.0;205.74;104.32616;1999-00
1652;LaPhonso Ellis;30.0;203.2;108.86208;1999-00
1653;Lamar Odom;20.0;208.28;99.79024;1999-00
1654;Lamond Murray;27.0;200.66;107.047712;1999-00
1655;Lari Ketner;23.0;208.28;129.27372;1999-00
1656;Laron Profit;22.0;195.58;92.532768;1999-00
1657;Larry Hughes;21.0;195.58;83.91452;1999-00
1658;Larry Johnson;31.0;200.66;106.59411999999999;1999-00
1659;Latrell Sprewell;29.0;195.58;86.18248;1999-00
1660;Lawrence Funderburke;29.0;205.74;104.32616;1999-00
1661;Lazaro Borrell;27.0;203.2;99.79024;1999-00
1662;Lindsey Hunter;29.0;187.96;88.45044;1999-00
1663;Lorenzen Wright;24.0;210.82;108.86208;1999-00
1664;Lorenzo Williams;30.0;205.74;90.7184;1999-00
1665;Loy Vaught;32.0;205.74;108.86208;1999-00
1666;Luc Longley;31.0;218.44;117.93392;1999-00
1667;Lucious Harris;29.0;195.58;92.98635999999999;1999-00
1668;Malik Rose;25.0;200.66;115.66596000000001;1999-00
1669;Malik Sealy;30.0;203.2;90.7184;1999-00
1670;Marcus Brown;26.0;190.5;83.91452;1999-00
1671;Marcus Camby;26.0;210.82;102.0582;1999-00
1672;Kiwane Garris;25.0;187.96;83.007336;1999-00
1673;Khalid Reeves;27.0;190.5;90.264808;1999-00
1674;Kevin Willis;37.0;213.36;111.13004;1999-00
1675;Kevin Ollie;27.0;193.04;88.45044;1999-00
1676;John Salley;36.0;210.82;115.66596000000001;1999-00
1677;John Starks;34.0;190.5;81.64656;1999-00
1678;John Stockton;38.0;185.42;79.3786;1999-00
1679;John Thomas;24.0;205.74;120.20188;1999-00
1680;John Wallace;26.0;205.74;102.0582;1999-00
1681;Johnny Newman;36.0;200.66;95.25432;1999-00
1682;Aaron McKie;27.0;195.58;94.800728;1999-00
1683;Johnny Taylor;26.0;205.74;99.79024;1999-00
1684;Jon Barry;30.0;195.58;95.25432;1999-00
1685;Jonathan Bender;19.0;210.82;91.625584;1999-00
1686;Jud Buechler;32.0;198.12;103.418976;1999-00
1687;Mario Bennett;26.0;198.12;106.59411999999999;1999-00
1688;Jumaine Jones;21.0;203.2;98.88305600000001;1999-00
1689;Karl Malone;36.0;205.74;116.119552;1999-00
1690;Keith Closs;24.0;220.98;96.16150400000001;1999-00
1691;Keith Van Horn;24.0;208.28;113.398;1999-00
1692;Kelvin Cato;25.0;210.82;115.66596000000001;1999-00
1693;Kendall Gill;32.0;195.58;97.975872;1999-00
1694;Kenny Anderson;29.0;185.42;76.203456;1999-00
1695;Kenny Thomas;22.0;203.2;117.93392;1999-00
1696;Keon Clark;25.0;210.82;99.79024;1999-00
1697;Kerry Kittles;26.0;195.58;81.64656;1999-00
1698;Kevin Garnett;24.0;210.82;99.79024;1999-00
1699;Kevin Johnson;34.0;185.42;86.18248;1999-00
1700;Juwan Howard;27.0;205.74;113.398;1999-00
1701;William Avery;20.0;187.96;81.64656;1999-00
1702;Mario Elie;36.0;195.58;102.0582;1999-00
1703;Mark Davis;27.0;200.66;92.98635999999999;1999-00
1704;Mookie Blaylock;33.0;185.42;83.91452;1999-00
1705;Muggsy Bogues;35.0;160.02;63.956472;1999-00
1706;Nazr Mohammed;22.0;208.28;100.243832;1999-00
1707;Nick Anderson;32.0;198.12;103.418976;1999-00
1708;Nick Van Exel;28.0;185.42;86.18248;1999-00
1709;Obinna Ekezie;24.0;205.74;122.46983999999999;1999-00
1710;Olden Polynice;35.0;213.36;113.398;1999-00
1711;Oliver Miller;30.0;205.74;142.88148;1999-00
1712;Othella Harrington;26.0;205.74;106.59411999999999;1999-00
1713;Otis Thorpe;37.0;208.28;111.58363200000001;1999-00
1714;P.J. Brown;30.0;210.82;108.86208;1999-00
1715;Pat Garrity;23.0;205.74;107.95489599999999;1999-00
1716;Patrick Ewing;37.0;213.36;115.66596000000001;1999-00
1717;Paul Pierce;22.0;200.66;99.79024;1999-00
1718;Peja Stojakovic;23.0;205.74;103.872568;1999-00
1719;Pervis Ellison;33.0;205.74;95.25432;1999-00
1720;Pete Chilcutt;31.0;208.28;111.13004;1999-00
1721;Popeye Jones;30.0;203.2;113.398;1999-00
1722;Quincy Lewis;23.0;200.66;97.52228000000001;1999-00
1723;Raef LaFrentz;24.0;210.82;108.86208;1999-00
1724;Rafer Alston;23.0;187.96;77.56423199999999;1999-00
1725;Randell Jackson;24.0;210.82;97.52228000000001;1999-00
1726;Randy Brown;32.0;187.96;86.636072;1999-00
1727;Moochie Norris;26.0;185.42;79.3786;1999-00
1728;Monty Williams;28.0;203.2;102.0582;1999-00
1729;Mitch Richmond;35.0;195.58;99.79024;1999-00
1730;Mirsad Turkcan;24.0;205.74;97.975872;1999-00
1731;Mark Hendrickson;26.0;205.74;99.79024;1999-00
1732;Mark Jackson;35.0;190.5;83.91452;1999-00
1733;Mark Strickland;29.0;208.28;99.79024;1999-00
1734;Mark West;39.0;208.28;104.32616;1999-00
1735;Marty Conlon;32.0;208.28;101.604608;1999-00
1736;Matt Bullard;33.0;208.28;106.59411999999999;1999-00
1737;Matt Geiger;30.0;215.9;112.490816;1999-00
1738;Matt Harpring;24.0;200.66;104.779752;1999-00
1739;Matt Maloney;28.0;190.5;90.7184;1999-00
1740;Maurice Taylor;23.0;205.74;117.93392;1999-00
1741;Metta World Peace;20.0;198.12;110.676448;1999-00
1742;Mark Bryant;35.0;205.74;111.13004;1999-00
1743;Michael Cage;38.0;205.74;101.604608;1999-00
1744;Michael Dickerson;25.0;195.58;86.18248;1999-00
1745;Michael Doleac;23.0;210.82;118.841104;1999-00
1746;Michael Finley;27.0;200.66;97.52228000000001;1999-00
1747;Michael Hawkins;27.0;182.88;80.73937600000001;1999-00
1748;Michael Olowokandi;25.0;213.36;122.016248;1999-00
1749;Michael Ruffin;23.0;205.74;111.58363200000001;1999-00
1750;Michael Smith;28.0;203.2;108.86208;1999-00
1751;Michael Stewart;25.0;208.28;104.32616;1999-00
1752;Mike Bibby;22.0;187.96;86.18248;1999-00
1753;Mikki Moore;24.0;213.36;102.0582;1999-00
1754;Milt Palacio;22.0;190.5;88.45044;1999-00
1755;Michael Curry;31.0;195.58;102.965384;1999-00
1756;Zan Tabak;30.0;213.36;111.13004;1999-00
1757;Jeff McInnis;26.0;193.04;80.73937600000001;2000-01
1758;Jelani McCoy;23.0;208.28;111.13004;2000-01
1759;A.J. Guyton;23.0;185.42;81.64656;2000-01
1760;Jerome Kersey;39.0;200.66;97.52228000000001;2000-01
1761;Eddie Gill;22.0;182.88;86.18248;2000-01
1762;Eddie House;23.0;185.42;81.64656;2000-01
1763;Eddie Jones;29.0;200.66;87.996848;2000-01
1764;Eddie Robinson;25.0;205.74;92.98635999999999;2000-01
1765;Eduardo Najera;24.0;203.2;106.140528;2000-01
1766;Elden Campbell;32.0;213.36;124.7378;2000-01
1767;Eldridge Recasner;33.0;193.04;87.089664;2000-01
1768;Elliot Perry;32.0;182.88;68.945984;2000-01
1769;Elton Brand;22.0;203.2;117.93392;2000-01
1770;Emanual Davis;32.0;195.58;88.45044;2000-01
1771;Eric Montross;29.0;213.36;122.46983999999999;2000-01
1772;Eric Piatkowski;30.0;198.12;98.429464;2000-01
1773;Eric Snow;28.0;190.5;92.532768;2000-01
1774;Eric Williams;28.0;203.2;99.79024;2000-01
1775;Erick Barkley;23.0;185.42;80.28578399999998;2000-01
1776;Erick Dampier;25.0;210.82;120.20188;2000-01
1777;Erick Strickland;27.0;190.5;95.25432;2000-01
1778;Ervin Johnson;33.0;210.82;115.66596000000001;2000-01
1779;Etdrick Bohannon;28.0;205.74;99.79024;2000-01
1780;Evan Eschmeyer;26.0;210.82;115.66596000000001;2000-01
1781;Felipe Lopez;26.0;195.58;88.45044;2000-01
1782;Felton Spencer;33.0;213.36;120.20188;2000-01
1783;Fred Hoiberg;28.0;195.58;95.25432;2000-01
1784;Earl Boykins;25.0;165.1;60.327736;2000-01
1785;Duane Causwell;33.0;213.36;115.66596000000001;2000-01
1786;Dragan Tarlac;28.0;210.82;122.46983999999999;2000-01
1787;Doug West;34.0;198.12;90.7184;2000-01
1788;David Wingate;37.0;195.58;84.821704;2000-01
1789;DeShawn Stevenson;20.0;195.58;95.25432;2000-01
1790;Dean Garrett;34.0;210.82;113.398;2000-01
1791;Dee Brown;32.0;187.96;92.98635999999999;2000-01
1792;Dell Curry;37.0;195.58;92.98635999999999;2000-01
1793;DerMarr Johnson;21.0;205.74;91.171992;2000-01
1794;Derek Anderson;26.0;195.58;88.45044;2000-01
1795;Derek Fisher;26.0;185.42;90.7184;2000-01
1796;Derek Strong;33.0;205.74;108.86208;2000-01
1797;Derrick Coleman;34.0;208.28;122.46983999999999;2000-01
1798;Derrick Dial;25.0;193.04;83.91452;2000-01
1799;Garth Joseph;27.0;218.44;138.799152;2000-01
1800;Derrick McKey;34.0;208.28;109.315672;2000-01
1801;Detlef Schrempf;38.0;208.28;106.59411999999999;2000-01
1802;Devean George;23.0;203.2;99.79024;2000-01
1803;Dikembe Mutombo;35.0;218.44;120.20188;2000-01
1804;Dion Glover;22.0;195.58;103.418976;2000-01
1805;Dirk Nowitzki;23.0;210.82;107.501304;2000-01
1806;Don MacLean;31.0;208.28;106.59411999999999;2000-01
1807;Don Reid;27.0;203.2;113.398;2000-01
1808;Donnell Harvey;20.0;203.2;99.79024;2000-01
1809;Donyell Marshall;28.0;205.74;104.32616;2000-01
1810;Doug Christie;31.0;198.12;92.98635999999999;2000-01
1811;Doug Overton;31.0;190.5;86.18248;2000-01
1812;Desmond Mason;23.0;195.58;97.52228000000001;2000-01
1813;David Wesley;30.0;185.42;95.707912;2000-01
1814;Gary Grant;36.0;190.5;83.91452;2000-01
1815;Gary Trent;26.0;203.2;113.398;2000-01
1816;Jalen Rose;28.0;203.2;102.0582;2000-01
1817;Jamaal Magloire;23.0;208.28;117.93392;2000-01
1818;Jamal Crawford;21.0;195.58;90.7184;2000-01
1819;Jamal Mashburn;28.0;203.2;109.315672;2000-01
1820;Jamal Robinson;27.0;200.66;96.16150400000001;2000-01
1821;Jamel Thomas;24.0;198.12;99.336648;2000-01
1822;James Posey;24.0;203.2;97.52228000000001;2000-01
1823;James Robinson;30.0;187.96;81.64656;2000-01
1824;Jamie Feick;26.0;205.74;115.66596000000001;2000-01
1825;Jaren Jackson;33.0;193.04;86.18248;2000-01
1826;Jason Caffey;28.0;203.2;116.119552;2000-01
1827;Jason Collier;23.0;213.36;117.93392;2000-01
1828;Jason Hart;23.0;187.96;82.10015200000001;2000-01
1829;Jason Kidd;28.0;193.04;96.16150400000001;2000-01
1830;Jason Terry;23.0;187.96;78.017824;2000-01
1831;Jason Williams;25.0;185.42;86.18248;2000-01
1832;Jeff Foster;24.0;210.82;109.769264;2000-01
1833;Zydrunas Ilgauskas;26.0;220.98;117.93392;2000-01
1834;Zendon Hamilton;26.0;210.82;115.212368;2000-01
1835;Zan Tabak;31.0;213.36;116.573144;2000-01
1836;William Avery;21.0;187.96;89.357624;2000-01
1837;Will Perdue;35.0;213.36;108.86208;2000-01
1838;Wesley Person;30.0;198.12;90.7184;2000-01
1839;Jake Voskuhl;23.0;210.82;111.13004;2000-01
1840;Jake Tsakalidis;22.0;218.44;129.27372;2000-01
1841;Jahidi White;25.0;205.74;131.54168;2000-01
1842;Jacque Vaughn;26.0;185.42;86.18248;2000-01
1843;George Lynch;30.0;203.2;103.418976;2000-01
1844;George McCloud;34.0;203.2;102.0582;2000-01
1845;Gerard King;28.0;205.74;104.32616;2000-01
1846;Glen Rice;34.0;203.2;99.79024;2000-01
1847;Glenn Robinson;28.0;200.66;104.32616;2000-01
1848;Grant Hill;28.0;203.2;102.0582;2000-01
1849;Grant Long;35.0;205.74;113.398;2000-01
1850;Greg Anthony;33.0;185.42;81.64656;2000-01
1851;Greg Buckner;24.0;193.04;95.25432;2000-01
1852;Greg Foster;32.0;210.82;113.398;2000-01
1853;Greg Ostertag;28.0;218.44;127.00576000000001;2000-01
1854;Gary Payton;32.0;193.04;81.64656;2000-01
1855;Hakeem Olajuwon;38.0;213.36;115.66596000000001;2000-01
1856;Hedo Turkoglu;22.0;203.2;99.79024;2000-01
1857;Hersey Hawkins;34.0;190.5;90.7184;2000-01
1858;Horace Grant;35.0;208.28;111.13004;2000-01
1859;Howard Eisley;28.0;187.96;81.64656;2000-01
1860;Hubert Davis;31.0;195.58;83.007336;2000-01
1861;Ike Austin;31.0;208.28;122.46983999999999;2000-01
1862;Ira Bowman;28.0;195.58;88.45044;2000-01
1863;Ira Newble;26.0;200.66;97.52228000000001;2000-01
1864;Isaiah Rider;30.0;195.58;97.52228000000001;2000-01
1865;J.R. Reid;33.0;205.74;112.037224;2000-01
1866;Jabari Smith;24.0;210.82;113.398;2000-01
1867;Hanno Mottola;24.0;210.82;112.037224;2000-01
1868;Wang Zhi-zhi;23.0;215.9;99.79024;2000-01
1869;David Robinson;35.0;215.9;113.398;2000-01
1870;Darvin Ham;27.0;200.66;104.32616;2000-01
1871;Art Long;28.0;205.74;108.86208;2000-01
1872;Arvydas Sabonis;36.0;220.98;132.448864;2000-01
1873;Austin Croshere;26.0;205.74;109.769264;2000-01
1874;Avery Johnson;36.0;180.34;81.64656;2000-01
1875;Baron Davis;22.0;190.5;96.16150400000001;2000-01
1876;Ben Wallace;26.0;205.74;108.86208;2000-01
1877;Bill Curley;29.0;205.74;99.79024;2000-01
1878;Billy Owens;32.0;203.2;99.79024;2000-01
1879;Bimbo Coles;33.0;187.96;82.553744;2000-01
1880;Bo Outlaw;30.0;203.2;95.25432;2000-01
1881;Bob Sura;28.0;195.58;90.7184;2000-01
1882;Bobby Jackson;28.0;185.42;83.91452;2000-01
1883;Bonzi Wells;24.0;195.58;95.25432;2000-01
1884;Brad Miller;25.0;213.36;118.38751200000002;2000-01
1885;Brent Barry;29.0;198.12;97.52228000000001;2000-01
1886;Brent Price;32.0;185.42;83.91452;2000-01
1887;Brevin Knight;25.0;177.8;77.11064;2000-01
1888;Brian Cardinal;24.0;203.2;111.13004;2000-01
1889;Brian Grant;29.0;205.74;113.398;2000-01
1890;Brian Shaw;35.0;198.12;90.7184;2000-01
1891;Brian Skinner;25.0;205.74;120.20188;2000-01
1892;Bruce Bowen;30.0;200.66;90.7184;2000-01
1893;Bruno Sundov;21.0;218.44;108.40848799999999;2000-01
1894;Antonio McDyess;26.0;205.74;111.13004;2000-01
1895;Antonio Harvey;30.0;210.82;113.398;2000-01
1896;Antonio Davis;32.0;205.74;104.32616;2000-01
1897;Antonio Daniels;26.0;193.04;92.98635999999999;2000-01
1898;Jermaine ONeal;22.0;210.82;102.511792;2000-01
1899;Aaron McKie;28.0;195.58;94.800728;2000-01
1900;Aaron Williams;29.0;205.74;102.0582;2000-01
1901;Adam Keefe;31.0;205.74;104.32616;2000-01
1902;Adonal Foyle;26.0;208.28;113.398;2000-01
1903;Adrian Griffin;26.0;195.58;97.52228000000001;2000-01
1904;Al Harrington;21.0;205.74;115.212368;2000-01
1905;Alan Henderson;28.0;205.74;106.59411999999999;2000-01
1906;Allan Houston;30.0;198.12;90.7184;2000-01
1907;Allen Iverson;26.0;182.88;74.84268;2000-01
1908;Alonzo Mourning;31.0;208.28;118.38751200000002;2000-01
1909;Bryant Reeves;28.0;213.36;131.54168;2000-01
1910;Alvin Williams;26.0;195.58;83.91452;2000-01
1911;Andrew DeClercq;28.0;208.28;115.66596000000001;2000-01
1912;Andy Panko;23.0;205.74;111.13004;2000-01
1913;Anfernee Hardaway;29.0;200.66;97.52228000000001;2000-01
1914;Antawn Jamison;25.0;205.74;101.151016;2000-01
1915;Anthony Carter;26.0;185.42;86.18248;2000-01
1916;Anthony Goldwire;29.0;187.96;82.553744;2000-01
1917;Anthony Johnson;26.0;190.5;86.18248;2000-01
1918;Anthony Mason;34.0;203.2;115.66596000000001;2000-01
1919;Anthony Miller;29.0;205.74;115.66596000000001;2000-01
1920;Anthony Peeler;31.0;193.04;94.34713599999999;2000-01
1921;Antoine Walker;24.0;205.74;111.13004;2000-01
1922;Andre Miller;25.0;187.96;90.7184;2000-01
1923;David Benoit;33.0;203.2;99.79024;2000-01
1924;Bryant Stith;30.0;195.58;95.25432;2000-01
1925;Bryon Russell;30.0;200.66;102.0582;2000-01
1926;Corey Benjamin;23.0;198.12;92.98635999999999;2000-01
1927;Corey Maggette;21.0;198.12;98.88305600000001;2000-01
1928;Corie Blount;32.0;208.28;109.769264;2000-01
1929;Corliss Williamson;27.0;200.66;111.13004;2000-01
1930;Cory Alexander;28.0;185.42;86.18248;2000-01
1931;Courtney Alexander;24.0;195.58;92.98635999999999;2000-01
1932;Cuttino Mobley;25.0;193.04;86.18248;2000-01
1933;Dale Davis;32.0;210.82;114.30518400000001;2000-01
1934;Dalibor Bagaric;20.0;215.9;125.64498400000001;2000-01
1935;Damon Jones;24.0;190.5;83.91452;2000-01
1936;Damon Stoudamire;27.0;177.8;77.56423199999999;2000-01
1937;Dan Langhi;23.0;210.82;99.79024;2000-01
1938;Dan Majerle;35.0;198.12;100.697424;2000-01
1939;Dan McClintock;24.0;213.36;122.46983999999999;2000-01
1940;Dana Barros;34.0;180.34;73.935496;2000-01
1941;Daniel Santiago;25.0;215.9;116.119552;2000-01
1942;Danny Ferry;34.0;208.28;106.59411999999999;2000-01
1943;Danny Fortson;25.0;203.2;117.93392;2000-01
1944;Danny Manning;35.0;208.28;110.676448;2000-01
1945;Darius Miles;19.0;205.74;91.625584;2000-01
1946;Darrell Armstrong;33.0;185.42;81.64656;2000-01
1947;Darrick Martin;30.0;180.34;77.11064;2000-01
1948;A.C. Green;37.0;205.74;102.0582;2000-01
1949;Clifford Robinson;34.0;208.28;102.0582;2000-01
1950;Clar. Weatherspoon;30.0;200.66;120.20188;2000-01
1951;Chucky Brown;33.0;203.2;99.79024;2000-01
1952;Chucky Atkins;26.0;180.34;72.57472;2000-01
1953;Cal Bowdler;24.0;208.28;111.13004;2000-01
1954;Calbert Cheaney;29.0;200.66;98.429464;2000-01
1955;Calvin Booth;25.0;210.82;109.315672;2000-01
1956;Carlos Rogers;30.0;210.82;105.23334399999999;2000-01
1957;Cedric Ceballos;31.0;200.66;99.79024;2000-01
1958;Cedric Henderson;26.0;200.66;102.0582;2000-01
1959;Charles Oakley;37.0;205.74;111.13004;2000-01
1960;Charlie Ward;30.0;187.96;86.18248;2000-01
1961;Chauncey Billups;24.0;190.5;91.625584;2000-01
1962;Cherokee Parks;28.0;210.82;108.86208;2000-01
1963;Chris Carr;27.0;198.12;99.79024;2000-01
1964;Bryce Drew;26.0;190.5;83.91452;2000-01
1965;Chris Childs;33.0;190.5;88.45044;2000-01
1966;Chris Dudley;36.0;210.82;117.93392;2000-01
1967;Chris Garner;26.0;177.8;70.760352;2000-01
1968;Chris Gatling;33.0;208.28;104.32616;2000-01
1969;Chris Herren;25.0;187.96;86.18248;2000-01
1970;Chris Mihm;21.0;215.9;120.20188;2000-01
1971;Chris Mills;31.0;200.66;97.975872;2000-01
1972;Chris Mullin;37.0;198.12;90.7184;2000-01
1973;Chris Porter;23.0;200.66;98.88305600000001;2000-01
1974;Chris Webber;28.0;208.28;111.13004;2000-01
1975;Chris Whitney;29.0;182.88;79.3786;2000-01
1976;Christian Laettner;31.0;210.82;111.13004;2000-01
1977;Chris Crawford;26.0;205.74;106.59411999999999;2000-01
1978;Walter McCarty;27.0;208.28;104.32616;2000-01
1979;David Vanterpool;28.0;195.58;90.7184;2000-01
1980;Wally Szczerbiak;24.0;200.66;110.676448;2000-01
1981;Michael Hawkins;28.0;182.88;80.73937600000001;2000-01
1982;Michael Finley;28.0;200.66;97.52228000000001;2000-01
1983;Michael Doleac;24.0;210.82;118.841104;2000-01
1984;Michael Dickerson;26.0;193.04;86.18248;2000-01
1985;Michael Curry;32.0;195.58;95.25432;2000-01
1986;Metta World Peace;21.0;200.66;111.58363200000001;2000-01
1987;Maurice Taylor;24.0;205.74;117.93392;2000-01
1988;Matt Maloney;29.0;190.5;90.7184;2000-01
1989;Matt Harpring;25.0;200.66;104.779752;2000-01
1990;Matt Geiger;31.0;215.9;112.490816;2000-01
1991;Matt Bullard;34.0;208.28;106.59411999999999;2000-01
1992;Mateen Cleaves;23.0;187.96;92.98635999999999;2000-01
1993;Mark Strickland;30.0;208.28;99.79024;2000-01
1994;Mark Pope;28.0;208.28;106.59411999999999;2000-01
1995;Mark Madsen;25.0;205.74;108.86208;2000-01
1996;Mark Jackson;36.0;190.5;92.98635999999999;2000-01
1997;Mark Bryant;36.0;205.74;113.398;2000-01
1998;Mark Blount;25.0;213.36;104.32616;2000-01
1999;Mario Elie;37.0;195.58;102.0582;2000-01
2000;Marcus Fizer;22.0;205.74;118.841104;2000-01
2001;Marcus Camby;27.0;210.82;102.0582;2000-01
2002;Marc Jackson;26.0;208.28;122.46983999999999;2000-01
2003;Malik Rose;26.0;200.66;115.66596000000001;2000-01
2004;Michael Olowokandi;26.0;213.36;131.995272;2000-01
2005;Michael Redd;21.0;198.12;97.068688;2000-01
2006;Michael Ruffin;24.0;203.2;112.490816;2000-01
2007;Michael Smith;29.0;203.2;108.86208;2000-01
2008;Patrick Ewing;38.0;213.36;115.66596000000001;2000-01
2009;Pat Garrity;24.0;205.74;107.95489599999999;2000-01
2010;P.J. Brown;31.0;210.82;108.86208;2000-01
2011;Otis Thorpe;38.0;208.28;112.490816;2000-01
2012;Othella Harrington;27.0;205.74;106.59411999999999;2000-01
2013;Olumide Oyedeji;20.0;208.28;108.86208;2000-01
2014;Olden Polynice;36.0;213.36;113.398;2000-01
2015;Obinna Ekezie;25.0;205.74;117.93392;2000-01
2016;Nick Van Exel;29.0;185.42;86.18248;2000-01
2017;Nick Anderson;33.0;198.12;103.418976;2000-01
2018;Nazr Mohammed;23.0;208.28;108.86208;2000-01
2019;Mahmoud Abdul-Rauf;32.0;185.42;73.481904;2000-01
2020;Muggsy Bogues;36.0;160.02;61.688512;2000-01
2021;Mookie Blaylock;34.0;185.42;83.91452;2000-01
2022;Moochie Norris;27.0;185.42;79.3786;2000-01
2023;Monty Williams;29.0;203.2;102.0582;2000-01
2024;Mitch Richmond;36.0;195.58;97.52228000000001;2000-01
2025;Milt Palacio;23.0;190.5;88.45044;2000-01
2026;Mikki Moore;25.0;213.36;104.32616;2000-01
2027;Mike Smith;25.0;203.2;88.45044;2000-01
2028;Mike Penberthy;26.0;190.5;81.64656;2000-01
2029;Mike Miller;21.0;203.2;98.88305600000001;2000-01
2030;Mike Bibby;23.0;185.42;86.18248;2000-01
2031;Michael Stewart;26.0;208.28;104.32616;2000-01
2032;Morris Peterson;23.0;200.66;98.88305600000001;2000-01
2033;Paul McPherson;22.0;193.04;95.25432;2000-01
2034;Lucious Harris;30.0;195.58;92.98635999999999;2000-01
2035;Loy Vaught;33.0;205.74;108.86208;2000-01
2036;Kelvin Cato;26.0;210.82;115.66596000000001;2000-01
2037;Keith Van Horn;25.0;208.28;115.66596000000001;2000-01
2038;Karl Malone;37.0;205.74;116.119552;2000-01
2039;Juwan Howard;28.0;205.74;113.398;2000-01
2040;Jumaine Jones;22.0;203.2;98.88305600000001;2000-01
2041;Jud Buechler;33.0;198.12;103.418976;2000-01
2042;Jonathan Bender;20.0;210.82;89.811216;2000-01
2043;Jon Barry;31.0;195.58;95.25432;2000-01
2044;Johnny Newman;37.0;200.66;95.25432;2000-01
2045;John Wallace;27.0;205.74;102.0582;2000-01
2046;John Stockton;39.0;185.42;79.3786;2000-01
2047;John Starks;35.0;195.58;86.18248;2000-01
2048;John Crotty;31.0;187.96;87.996848;2000-01
2049;John Coker;29.0;213.36;114.758776;2000-01
2050;John Amaechi;30.0;208.28;122.46983999999999;2000-01
2051;Joel Przybilla;21.0;215.9;115.66596000000001;2000-01
2052;Joe Smith;25.0;208.28;102.0582;2000-01
